QUESTION,BT LEVEL
"Standardized, reusable containers have fairly obvious benefits for shipping. Use five (5) points to justify the purpose of these devices within the plant. ",Evaluation
Illustrate Blake and Mouton's Managerial Grid leadership styles using a diagram. Explain each of the management style identified. ,Comprehension
List three characteristics that are unique to the Cubist movement.,Knowledge
Compare three celebrations using a Venn diagram.,Analysis
Explain why the electrical conductivity of a semiconductor is higher than an insulator by using the energy band diagram. ,Comprehension
Judge the value of... What do you think about...?,Evaluation
Label the parts of the diagram,Knowledge
Analyze a distinction. State the point of view of . . .,Analysis
Select the athlete of the century and analyze why you chose this person.,Analysis
Give the appropriate formula to calculate the velocity of the sedimentation. ,Comprehension
"Distinguish among acidic, saline and sodic soils. ",Analysis
Draw TWO (2) logo design for food and beverage products. ,Comprehension
Describe the 'Qlassic Assessment' principles on how to perform the evaluation. ,Comprehension
How much is your weight,Knowledge
Discuss  how  inverse  kinematics  helps  in  simplifying  the  task  of  animating jointed  structures.,Comprehension
"Define graphic design, product design and environmental design. Provide ONE (1) example for each. ",Comprehension
Distinguish between the ripening behavior of climacteric and non-climacteric fruits in terms of their respiration rates and ethylene production.,Analysis
List FIVE (5) plant consideration in a construction site. ,Knowledge
Determine if the winery is providing an amplifying or smoothing effect. ,Application
Can you distinguish aged rums from unaged rums by smell,Analysis
"With suitable examples, briefly discuss the importance of soil aeration.",Comprehension
Identify the key enzymes and explain their roles in fatty acid biosynthesis that contribute to the unique fatty acid composition of palm mesocarp oil.,Comprehension
Discuss TWO (2) disadvantages of tokenism that is usually used to create a positive image of the system that the system is fair and without discrimination. ,Comprehension
Describe THREE (3) types of test that can be applied for a concrete structure survey. ,Comprehension
"In your own words, describe Supply Chain Management (SCM).",Comprehension
Suggest a house-style and editorial policies for your newly introduced newspaper targeted at young readers aged between 15 to 25 years.,Synthesis
Discuss the main purpose of quiet on-site observation technique.,Comprehension
Develop a SQA Plan for a software development project which is defined in the attached document.,Synthesis
 sketch a graph of velocity versus time for the upward and downward parts of a ball’s flight,Application
List any five departments and discuss the relations between these departments and the importance of depending on each other.,Analysis
"Implement working codes for presentation, business and data layers.",Application
Investigate (pointwise) convergence and absolute convergence of the given series of functions,Analysis
How Do You Think One Should Reason in Making Ethical Decisions in Business,Evaluation
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,Evaluation
Suggest THREE (3) steps that Annie should do in multimedia authoring.,Synthesis
Break down the main actions of the story.,Analysis
Critically examine the strengths and weaknesses of the positivist paradigm,Analysis
Describe in your own words what is meant by a sprained ankle.,Comprehension
Suggest an alternative to Albert on how the above limitations may be overcome.,Synthesis
How to construct simple solutions when problems are complex?,Application
who was the first man on the moon,Knowledge
 Estimate the epicentral coordinates of the earth-quake,Evaluation
Draw a diagram of the Intelligent System structure with detailed explanation.,Comprehension
"Using appropriate examples, differentiate between agglomerative  and divisive in the context of agglomerative hierarchical clustering.",Analysis
